"tcp","author","title","genre","in_1244","AbstractConcepts","Acknowledge","Anger","Apology","Aside","Attack_Citation","Authoritative_Citation","Autobio","Biographical_Time","Cause","Citations","CommonAuthorities","CommunicatorRole","Comparison","Concessive","Confidence","ConfirmExperience","ConfirmedThght","Confront","Consequence","Contested_Citation","Contingency","Curiosity","Definition","DenyDisclaim","DialogCues","DirectAddress","DirectReasoning","Disclosure","ErrorRecovery","Example","Exceptions","Fear","Feedback","FirstPer","FollowUp","Future_Question","Future_in_Past","Generalization","GenericEvents","Immediacy","Imperative","In_Media","Inclusive","Innovations","Insist","Intensity","LangRef","MatureProcess","Metadiscourse","Motions","MoveBody","Narrative_Verbs","NegFeedback","Neg_Citation","Negative_Attribution","Negative_Relation","Negativity","Neutral_Attribution","Numbers","OpenQuery","OralCues","PersonPronoun","PersonProperty","PosFeedback","Positive_Attribution","Positivity","Precedent_Defending","Precedent_Setting","PredictedFuture","PriorKnowledge","PrivateThinking","Procedures","ProjectAhead","ProjectBack","Promise","Question","Quotation","ReasonBackward","ReasonForward","Reassure","ReceivedPOV","RecurringEvents","Reinforce","Reluctance","Repair_Citation","ReportingEvents","ReportingStates","Request","Resemblances","Resistance","Responsibility","Sad","SceneShift","SelfDisclosure","SelfReluctance","Self_Promise","SenseObject","SenseProperty","Sequence","SpaceRelation","Specifiers","Speculative_Citation","StandardsNeg","StandardsPos","SubjectivePercept","SubjectiveTime","Substitution","Support","TimeDate","TimeDuration","TimeShift","Transformation","Uncertainty","Updates"
"A00456","Bower, Richard","Appius and Virginia","TC","True","3.1370816304","0.0331381862366","0.265105489893","0.0220921241577","0.0662763724732","0","0","0.474980669391","0.254059427814","0.298243676129","0.298243676129","1.3586656357","0.0110460620789","0.320335800287","0.121506682868","0.419750358997","0","0","0","0","0.0220921241577","1.88887661549","0.430796421076","0","1.54644869104","0","3.43532530653","0.0220921241577","0.0552303103943","0","0","0.265105489893","0.265105489893","0","3.25858831327","0","0.342427924445","0","0.276151551972","0.276151551972","0.541257041865","0.165690931183","0","0.287197614051","0","0.607533414338","1.84469236717","0.38661217276","0","0.298243676129","1.10460620789","0","0.132552744946","0","0.0110460620789","0","0.287197614051","3.04871313377","0.110460620789","0.143598807025","0.0331381862366","1.46912625649","1.36971169778","2.45222578151","0","0.0662763724732","2.26444272617","0","0","0.729040097205","0","0.48602673147","0","1.27029713907","0.717994035126","0","1.38075775986","0","0.0220921241577","1.31448138739","0.0441842483155","0.0552303103943","0.209875179499","0","0","0","3.10394344416","2.07665967083","0.110460620789","0.254059427814","2.03247542251","0.0441842483155","0.342427924445","0.243013365735","0.994145587098","0","0.110460620789","3.89925991384","1.08251408373","1.27029713907","1.7231856843","1.17088258036","0","0.563349166022","2.37490334696","1.32552744946","0.220921241577","0","0","0","0.850546780073","0.243013365735","0.209875179499","0.640671600574","0.342427924445"
"A00471","Anon.","The Summoning of Everyman","IN","True","2.4226877583","0.142511044606","0.114008835685","0.0285022089212","0.0427533133818","0","0","0.684053014109","0.285022089212","0.22801767137","0.456035342739","2.09491235571","0.0142511044606","0.897819581018","0.199515462448","1.02607952116","0","0","0.0285022089212","0.0285022089212","0","1.9524013111","0.270770984751","0","1.82414137096","0","4.57460453185","0","0.185264357988","0","0","0.114008835685","0.156762149067","0","5.47242411287","0.0427533133818","0.541541969503","0","0.598546387345","0.199515462448","1.23984608807","0.0855066267636","0","0.769559640872","0","1.42511044606","2.20892119139","0.399030924897","0","0.513039760581","0.612797491806","0.0285022089212","0.199515462448","0","0","0","0.199515462448","1.93815020664","0.0855066267636","0.285022089212","0.0570044178424","1.4108593416","0.897819581018","1.32535271484","0","0","2.43693886276","0","0","1.8098902665","0","0.755308536412","0","1.05458173008","0.72680632749","0","0.513039760581","0","0.171013253527","0.527290865042","0.0427533133818","0.0997577312242","0.185264357988","0","0","0.0142511044606","4.33233575602","1.90964799772","0.0570044178424","0.0570044178424","1.3396038193","0.22801767137","0.570044178424","0.798061849793","2.86447199658","0.0427533133818","0","2.08066125125","0.627048596266","0.926321789939","1.82414137096","2.08066125125","0","0.384779820436","3.79079378652","0.798061849793","0.498788656121","0.0427533133818","0","0.0285022089212","0.798061849793","0.342026507054","0.22801767137","0.199515462448","0.441784238278"
"A00723","Field, Nathan","Amends for Ladies","CO","True","1.85720377126","0.104230823897","0.165821765291","0.0142132941678","0.21793717724","0","0","0.67276259061","0.317430236414","0.161084000569","0.393234471976","1.20813000426","0","0.810157767565","0.189510588904","0.663287061165","0.0284265883356","0.0284265883356","0.0994930591747","0.0284265883356","0.00947552944521","1.58715118207","0.241626000853","0.023688823613","1.98986118349","0.0852797650069","6.31070261051","0.0331643530582","0.113706353342","0","0","0.175297294736","0.184772824182","0","3.29274648221","0","0.265314824466","0.0142132941678","0.478514236983","0.369545648363","0.715402473113","0.497465295873","0","0.407447766144","0.0047377647226","0.90965082674","1.58715118207","0.289003648079","0.0142132941678","0.431136589757","0.876486473682","0","0.23688823613","0","0","0.00947552944521","0.274790353911","2.2220116549","0.246363765575","0.32690576586","0.0379021177808","1.25076988677","1.85720377126","3.83285166059","0","0.00947552944521","1.98512341877","0","0","0.611171649216","0.0331643530582","0.535367413654","0.023688823613","1.08021035675","1.0470460037","0.0521154119486","2.14620741934","0.00947552944521","0.0994930591747","0.990192827024","0.0710664708391","0.0521154119486","0.184772824182","0","0","0.0284265883356","3.14587577581","2.3262424788","0.12791964751","0.402710001421","2.13673188989","0.161084000569","0.241626000853","0.312692471692","2.13673188989","0.0284265883356","0.0379021177808","2.95162742218","1.16549012176","0.620647178661","1.84772824182","1.50187141707","0","0.772255649784","2.34519353769","1.58715118207","0.23688823613","0.0142132941678","0.0284265883356","0","0.549580707822","0.251101530298","0.260577059743","0.549580707822","0.758042355617"
"A00725","Field, Nathan","A Woman Is a Weathercock","CO","True","2.26293662739","0.0830435459594","0.197228421654","0.0207608864899","0.301032854103","0","0.00519022162246","0.664348367675","0.37888617844","0.176467535164","0.441168837909","1.05880521098","0","0.565734156848","0.176467535164","0.524212383869","0.0467119946022","0.0622826594696","0.067472881092","0.0103804432449","0","1.49478382727","0.176467535164","0.0311413297348","2.06570820574","0.0155706648674","5.60024913064","0","0.212799086521","0","0.0155706648674","0.212799086521","0.202418643276","0","3.22312762755","0","0.192038200031","0","0.384076400062","0.249130637878","0.628016816318","0.602065708206","0.0103804432449","0.311413297348","0.00519022162246","0.960191000156","1.72315357866","0.264701302746","0","0.560543935226","0.700679919033","0.0103804432449","0.186847978409","0","0","0.0155706648674","0.368505735195","2.39269216796","0.368505735195","0.37888617844","0.0415217729797","1.40655005969","1.51554471376","3.23869829242","0","0.0103804432449","2.19027352468","0","0","0.67472881092","0.0207608864899","0.42040795142","0.0155706648674","0.996522551513","0.768152800125","0.0103804432449","1.99823532465","0","0.0726631027145","0.960191000156","0.0830435459594","0.0519022162246","0.155706648674","0","0","0.00519022162246","3.16084496808","2.19027352468","0.155706648674","0.42040795142","2.20065396792","0.0830435459594","0.290652410858","0.524212383869","2.09165931385","0.0103804432449","0.067472881092","3.43073649245","1.14184875694","0.814864794727","2.06570820574","1.51554471376","0","0.73701147039","2.20065396792","1.74910468677","0.254320859501","0","0.0830435459594","0","0.513831940624","0.425598173042","0.31660351897","0.550163491981","0.7162505839"
"A00760","Fisher, Jasper","Fuimus Troes","HI","True","2.91077936991","0.0249638024864","0.469319486744","0","0.279594587848","0","0.0249638024864","0.0948624494483","0.179739377902","0.139797293924","0.239652503869","1.30810325029","0.00499276049728","0.913675171002","0.144790054421","0.359478755804","0","0","0","0.00998552099456","0.00998552099456","1.13834939338","0.214688701383","0.00998552099456","1.03849418343","0","2.27669878676","0","0.174746617405","0","0.0149782814918","0.114833491437","0.34949323481","0","1.58270507764","0","0.154775575416","0","0.474312247241","0.254630785361","0.589145738679","0.778870637576","0","1.40296569974","0.00998552099456","0.444355684258","1.33306705277","0.389435318788","0","0.299565629837","1.96714763593","0.0599131259673","0.34949323481","0","0.00499276049728","0","0.619102301663","2.71606171052","0.179739377902","0.51425433122","0.0149782814918","0.51425433122","1.95716211493","1.93719107294","0","0.00998552099456","2.12691597184","0","0","0.209695940886","0","0.324529432323","0.00998552099456","1.32308153178","0.354485995307","0.0199710419891","1.43292226272","0","0.0249638024864","0.738928553597","0.0299565629837","0.0249638024864","0.244645264367","0","0","0.0399420839782","3.8494183434","1.97214039643","0.0249638024864","0.21968146188","1.89225622847","0.0599131259673","0.244645264367","0.269609066853","0.499276049728","0","0.00998552099456","6.83508912077","2.80093863897","0.873733087024","2.88581556743","1.13834939338","0","0.51425433122","2.52134405113","1.24319736382","0.254630785361","0.0399420839782","0.0399420839782","0","0.684008188127","0.229666982875","0.214688701383","0.279594587848","0.429377402766"
"A00958","Fletcher, John","The Bloody Brother","TR","True","2.35519054447","0.0782166601486","0.252031460479","0","0.230304610438","0","0","0.252031460479","0.247686090471","0.191196280363","0.27375831052","1.43397210272","0.00869074001651","0.782166601486","0.169469430322","0.577934211098","0.0391083300743","0.017381480033","0.0695259201321","0.017381480033","0.017381480033","1.4730804328","0.421500890801","0.00869074001651","1.80767392343","0","6.07482727154","0.0217268500413","0.195541650372","0","0.0260722200495","0.221613870421","0.451918480859","0","2.48120627471","0.0130361100248","0.212923130405","0","0.625733281189","0.391083300743","0.982053621866","0.643114761222","0","0.795202711511","0.0130361100248","1.02116195194","1.27753878243","0.230304610438","0","0.551861991049","1.02985269196","0.00869074001651","0.191196280363","0","0","0.00434537000826","0.317212010603","2.47686090471","0.160778690305","0.4736453309","0.0434537000826","0.682223091296","1.6860035632","2.74627384522","0","0","1.91196280363","0","0","0.582279581106","0.00869074001651","0.421500890801","0.034762960066","1.35575544258","0.643114761222","0.0217268500413","2.35519054447","0","0.0434537000826","0.925563811759","0.0869074001651","0.0651805501238","0.221613870421","0","0","0.0130361100248","3.53713118672","2.56376830487","0.0999435101899","0.325902750619","1.70773041324","0.139051840264","0.330248120627","0.334593490636","1.12979620215","0","0.00869074001651","3.49367748664","1.08199713206","0.777821231478","1.82940077348","1.46873506279","0","0.677877721288","2.8940164255","1.74683874332","0.182505540347","0.0564898101073","0.00869074001651","0","0.556207361057","0.551861991049","0.265067570504","0.321557380611","0.590970321123"
"A00959","Fletcher, John","The Bloody Brother","TR","False","2.36686390533","0.0711838768519","0.244694576678","0","0.169061707523","0","0.00889798460649","0.253592561285","0.253592561285","0.17795969213","0.271388530498","1.5082083908","0.00889798460649","0.676246830093","0.146816746007","0.596164968635","0.0400409307292","0.00444899230324","0.0400409307292","0.0222449615162","0.017795969213","1.54824932153","0.369266361169","0.00889798460649","1.89527072118","0","5.97944565556","0.00889798460649","0.200204653646","0","0.0355919384259","0.244694576678","0.453797214931","0","2.51368065133","0.0133469769097","0.222449615162","0","0.631756907061","0.413756284202","1.00992125284","0.751879699248","0","0.783022645371","0.0133469769097","1.06330916048","1.33024869867","0.484940161054","0","0.489389153357","1.0944521066","0.017795969213","0.186857676736","0","0","0.00444899230324","0.333674422743","2.51368065133","0.155714730614","0.458246207234","0.0444899230324","0.462695199537","1.70841304445","2.82955910486","0","0","1.97090359034","0","0","0.591715976331","0.00889798460649","0.467144191841","0.0266939538195","1.49041242159","0.654001868577","0.0222449615162","2.13551630556","0","0.0444899230324","1.00102326823","0.0978778306714","0.0578368999422","0.226898607465","0","0","0.0133469769097","3.74160252703","2.57596654358","0.0800818614584","0.298082484317","1.68171909063","0.102326822975","0.324776438137","0.333674422743","1.21012590648","0","0.00889798460649","3.64372469636","1.0989010989","0.854206522223","2.04653645949","1.53045335232","0","0.711838768519","3.02531476621","1.7840459136","0.204653645949","0.0311429461227","0.00889798460649","0","0.613960937848","0.600613960938","0.266939538195","0.32922543044","0.600613960938"
"A00960","Fletcher, John","The Elder Brother","CO","True","1.98447313329","0.047976273552","0.187543614794","0.00872295882763","0.139567341242","0","0","0.497208653175","0.244242847174","0.117759944173","0.266050244243","1.05111653873","0.0174459176553","0.610607117934","0.287857641312","0.566992323796","0.00872295882763","0.0523377529658","0.0261688764829","0.0130844382415","0.0174459176553","1.44801116539","0.732728541521","0.00872295882763","1.93649685973","0","5.26430565248","0","0.18318213538","0","0.0305303558967","0.200628053036","0.161374738311","0","2.76953942777","0","0.279134682484","0","0.47976273552","0.457955338451","0.636775994417","0.737090020935","0.00436147941382","0.42306350314","0.00872295882763","0.990055826936","1.05547801814","0.414340544313","0","0.824319609211","1.01622470342","0.0174459176553","0.252965806001","0","0.00872295882763","0","0.279134682484","2.15893230984","0.305303558967","0.444870900209","0.100314026518","1.09036985345","1.56577110956","3.53715980461","0.0130844382415","0.0392533147244","2.19818562456","0","0","0.606245638521","0.0130844382415","0.501570132589","0.0392533147244","1.52215631542","0.758897418004","0","2.15020935101","0","0.0436147941382","0.71964410328","0.0174459176553","0.047976273552","0.187543614794","0","0","0.0130844382415","3.70725750174","2.59071877181","0.130844382415","0.244242847174","1.88415910677","0.161374738311","0.130844382415","0.453593859037","1.43056524773","0","0","3.45865317516","1.58757850663","0.75453593859","2.09351011863","1.50034891835","0","0.471039776692","2.65614096301","1.74023028611","0.213712491277","0.0174459176553","0.0174459176553","0","0.649860432659","0.257327285415","0.431786461968","0.527739009072","0.584438241452"
"A00962","Fletcher, John","The Faithful Shepherdess","TC","True","1.94483284607","0.0508453031651","0.190669886869","0","0.139824583704","0","0","0.275412058811","0.385576882335","0.13135036651","0.237278081437","0.707597135715","0","0.927926782763","0.173721452481","0.559298334816","0","0","0","0.00847421719419","0","1.48722511758","0.305071818991","0","1.72874030761","0","3.51256302699","0","0.152535909495","0","0","0.0593195203593","0.283886276005","0","2.49565696369","0","0.152535909495","0.0127113257913","0.872844371001","0.288123384602","0.682174484132","0.572009660608","0","0.368628447947","0.00847421719419","0.567772552011","1.6016270497","0.427947968306","0.00423710859709","0.26270073302","1.36011185967","0.0169484343884","0.26270073302","0","0","0","0.241515190034","2.0338121266","0.122876149316","0.144061692301","0.0847421719419","0.381339773738","1.66094657006","1.86432778272","0","0.0169484343884","2.94479047498","0","0","0.49574170586","0","0.427947968306","0","0.987246303123","0.864370153807","0.0211855429855","1.12283377823","0","0.0677937375535","1.07198847506","0.0635566289564","0.0593195203593","0.542349900428","0","0","0.0254226515826","3.7837379772","2.53379094106","0.0550824117622","0.186432778272","1.52959620355","0.0720308461506","0.296597601797","0.62709207237","1.61857548409","0.0211855429855","0.0508453031651","5.41502478709","2.16516249311","0.957586542943","2.56345070124","1.08893690945","0","0.62709207237","2.3388839456","1.56349307233","0.385576882335","0","0","0","1.00419473751","0.182195669675","0.305071818991","0.470319054277","0.610143637981"
"A00966","Fletcher, John","The Night Walker, or The Little Thief","CO","True","1.70983578805","0.114271203657","0.249703741324","0.0296258676147","0.0761808024378","0","0","0.550194684273","0.232774674115","0.10157440325","0.32165227696","0.596749619096","0","0.626375486711","0.139664804469","0.702556289148","0.0507872016252","0.10157440325","0.0592517352294","0.0211613340105","0.0042322668021","1.86642965973","0.435923480616","0","2.15845606907","0","4.70628068393","0.0296258676147","0.165058405282","0","0.0042322668021","0.126968004063","0.313187743355","0","3.6228203826","0","0.34281361097","0","0.486710682241","0.410529879804","0.76604029118","0.761808024378","0.0084645336042","0.461317081429","0.0211613340105","1.03690536651","1.22312510581","0.258168274928","0.0042322668021","0.952260030472","1.19349923819","0.0296258676147","0.296258676147","0","0","0.0084645336042","0.283561875741","2.64516675131","0.465549348231","0.338581344168","0.0380904012189","1.0072794989","1.88759099374","2.64939901811","0.0042322668021","0.0126968004063","2.2134755375","0","0","0.554426951075","0.0126968004063","0.533265617064","0","1.24851870662","1.08346030134","0.0084645336042","2.91179955984","0","0.0253936008126","0.749111223972","0.143897071271","0.0169290672084","0.338581344168","0.0084645336042","0","0.0084645336042","3.59319451498","2.2092432707","0.126968004063","0.207381073303","1.47282884713","0.0804130692399","0.393600812595","0.558659217877","2.03572033181","0.0211613340105","0.0084645336042","3.78787878788","1.55747418317","0.672930421534","2.07804299983","1.13847976976","0","0.816827492805","2.05688166582","1.69290672084","0.372439478585","0.0338581344168","0.0084645336042","0.0169290672084","0.647536820721","0.363974944981","0.279329608939","0.702556289148","0.905705095649"
"A00967","Fletcher, John","Rule a Wife and Have a Wife","CO","True","1.66817769719","0.0861287398005","0.317316409791","0","0.0861287398005","0","0","0.571169537625","0.308250226655","0.108794197643","0.317316409791","0.870353581142","0","0.580235720762","0.0815956482321","0.725294650952","0.0498640072529","0.0770625566636","0.0861287398005","0","0.0135992747053","1.38259292838","0.253853127833","0","1.97189483228","0","6.22393472348","0.0090661831369","0.090661831369","0","0","0.167724388033","0.14505893019","0","3.33635539438","0","0.281051677244","0","0.602901178604","0.367180417044","0.893019038985","0.553037171351","0","0.358114233908","0.0135992747053","1.4505893019","1.25113327289","0.126926563917","0","1.4505893019","0.852221214869","0","0.26291931097","0","0.00453309156845","0","0.244786944696","2.1124206709","0.507706255666","0.475974614687","0.0271985494107","1.72257479601","1.37805983681","3.88485947416","0.0090661831369","0.0090661831369","2.24388032638","0","0","0.720761559383","0.0271985494107","0.294650951949","0.0090661831369","1.42792384406","0.720761559383","0","2.10788757933","0","0.0634632819583","0.738893925657","0.104261106074","0.0317316409791","0.258386219402","0","0","0.0090661831369","3.66273798731","2.57479601088","0.140525838622","0.38077969175","1.47778785131","0.11786038078","0.190389845875","0.503173164098","2.68812330009","0.0181323662738","0.0090661831369","3.40888485947","1.11060743427","0.670897552131","1.96282864914","1.03354487761","0","0.593834995467","2.58386219402","1.67724388033","0.185856754306","0","0.0181323662738","0","0.670897552131","0.412511332729","0.213055303717","0.475974614687","0.938349954669"
"A00968","Beaumont, Francis","Thierry and Theodoret","TR","True","2.26952229861","0.0352547153182","0.273224043716","0.0176273576591","0.304071919619","0","0","0.339326634937","0.321699277278","0.207121452494","0.28644456196","1.24713555438","0.0176273576591","0.771196897585","0.224748810153","0.691873788119","0.0220341970739","0.0176273576591","0.0616957518068","0.0705094306363","0","1.75392208708","0.365767671426","0","1.9390093425","0.00881367882954","5.65838180857","0.0220341970739","0.132205182443","0","0.00440683941477","0.180680416006","0.414242904989","0","2.71901991891","0.00881367882954","0.198307773665","0.0264410364886","0.436277102062","0.431870262648","0.793231094659","0.533227569187","0","0.528820729773","0.0308478759034","0.943063634761","1.21188083906","0.356953992597","0","0.616957518068","0.938656795346","0.0176273576591","0.202714613079","0","0","0.00440683941477","0.304071919619","2.84241142253","0.145425700687","0.326106116693","0.105764145955","0.846113167636","1.75832892649","2.85122510136","0.00440683941477","0.00881367882954","1.96545037899","0","0.0132205182443","0.603736999824","0.0352547153182","0.467124977966","0.0352547153182","1.48069804336","0.731535342852","0.00881367882954","1.9081614666","0","0.0837299488807","0.921029437687","0.132205182443","0.0352547153182","0.251189846642","0","0","0.0396615547329","3.71055878724","2.5956284153","0.123391503614","0.233562488983","1.76273576591","0.0793231094659","0.383395029085","0.475938656795","1.56002115283","0.0220341970739","0.0176273576591","2.99665080204","0.912215758858","0.854926846466","1.96104353957","1.92578882426","0","0.841706328221","2.83800458311","2.15494447382","0.277630883131","0.0176273576591","0.0220341970739","0","0.608143839238","0.321699277278","0.361360832011","0.383395029085","0.511193372114"
"A00969","Shakespeare, William","The Two Noble Kinsmen","TC","True","2.01277955272","0.102946396876","0.166844160454","0.0070997515087","0.262690805822","0","0","0.518281860135","0.305289314874","0.0993965211218","0.443734469294","1.07916222932","0.0070997515087","0.802271920483","0.145544905928","0.496982605609","0.0425985090522","0.0390486332978","0.0390486332978","0.00354987575435","0","1.67909123181","0.294639687611","0","1.69329073482","0.0070997515087","4.16400425985","0.010649627263","0.141995030174","0","0.0248491302804","0.198793042244","0.202342917998","0","2.3642172524","0","0.227192048278","0.010649627263","0.404685835996","0.443734469294","0.770323038694","0.493432729854","0","1.07206247781","0.00354987575435","1.04366347178","1.40930067448","0.429534966276","0.00354987575435","0.567980120696","1.09336173234","0.0212992545261","0.319488817891","0","0","0.0070997515087","0.319488817891","1.77493787717","0.273340433085","0.536031238907","0.0674476393326","0.656727014554","2.0837770678","2.51686190983","0.0070997515087","0.0177493787717","2.19027334043","0","0","0.511182108626","0","0.386936457224","0.0177493787717","1.18565850195","0.773872914448","0.010649627263","2.01632942847","0","0.0319488817891","0.674476393326","0.0532481363152","0.0851970181044","0.26979055733","0","0","0.0177493787717","3.33333333333","2.2470713525","0.141995030174","0.287539936102","1.65069222577","0.0638977635783","0.344337948172","0.422435214767","1.74298899539","0.0212992545261","0","3.63507277245","1.3915512957","1.02946396876","2.19737309194","1.59034433795","0","0.500532481363","2.64820731274","1.55839545616","0.22009229677","0","0.0283990060348","0","0.692225772098","0.429534966276","0.24494142705","0.482783102591","0.582179623713"
"A00979","Fletcher, Phineas","Sicelides","ND","True","1.9799579764","0.0282851139486","0.270728947794","0.00808146112817","0.185873605948","0","0.00404073056409","0.436398900921","0.412154517537","0.0808146112817","0.416195248101","0.529335703895","0.0121221916923","1.08291579118","0.214158719897","0.602068854049","0.00808146112817","0.0525294973331","0.0161629222563","0.0242443833845","0.00808146112817","1.64053660902","0.246484564409","0.00808146112817","1.87085825117","0","4.33570389526","0","0.149507030871","0","0","0.145466300307","0.323258445127","0","3.0830774204","0","0.181832875384","0","0.488928398254","0.193955067076","0.884919993535","0.436398900921","0","0.331339906255","0","0.695005657023","1.17989332471","0.456602553742","0.00808146112817","0.331339906255","1.31727816389","0","0.250525294973","0","0.00404073056409","0","0.39599159528","2.7679004364","0.246484564409","0.311136253435","0.0444480362049","0.880879262971","2.07289477938","1.53547761435","0","0.0161629222563","3.53563924358","0","0","0.35558428964","0.0202036528204","0.557620817844","0.0242443833845","1.05058994666","0.901082915791","0","2.61839340553","0","0.0727331501535","0.856634879586","0.0646516890254","0.0202036528204","0.343462097947","0","0","0.0282851139486","3.1275254566","1.82641021497","0.0848553418458","0.149507030871","1.94763213189","0.0727331501535","0.598028123485","0.480846937126","1.43041861969","0","0.0161629222563","5.01050589947","1.89106190399","0.812186843381","1.85469532892","1.28495231938","0","0.436398900921","1.68902537579","1.44254081138","0.35558428964","0.0202036528204","0.0121221916923","0.00404073056409","0.77177953774","0.303054792306","0.359625020204","0.480846937126","0.598028123485"
"A01046","Ford, John","The Broken Heart","TR","True","2.28258982815","0.104148585315","0.282069085228","0.0260371463288","0.199618121854","0","0.0173580975525","0.264710987676","0.377538621767","0.112827634091","0.260371463288","1.52317306023","0.00867904877625","0.598854365562","0.0824509633744","0.520742926575","0","0.034716195105","0.00867904877625","0.0737719145982","0.00433952438813","1.29317826766","0.403575768096","0.0303766707169","1.84863738934","0","3.77538621767","0.034716195105","0.243013365735","0","0.06943239021","0.195278597466","0.143204304808","0","2.4127755598","0.0130185731644","0.112827634091","0.0130185731644","0.368859572991","0.32546432911","0.551119597292","0.55545912168","0.00433952438813","0.74205867037","0.00433952438813","0.794132963027","1.3148758896","0.551119597292","0","0.55545912168","0.924318694671","0.0260371463288","0.173580975525","0","0.00433952438813","0.00867904877625","0.46432910953","2.46051032807","0.212636695018","0.221315743794","0.034716195105","0.39489671932","1.19336920673","2.59069605971","0.00433952438813","0.0303766707169","2.46051032807","0","0","0.386217670543","0.0390557194931","0.494705780246","0.00867904877625","1.26280159694","0.62489151189","0.0477347682694","1.67071688943","0","0.034716195105","0.681305328936","0.0477347682694","0.034716195105","0.243013365735","0","0","0.0130185731644","3.04200659608","2.34768269398","0.121506682868","0.225655268183","1.62732164555","0.186599548689","0.295087658393","0.429612914425","1.65335879188","0.00867904877625","0.00867904877625","3.2155875716","1.48411734074","0.81149106058","1.94844645027","1.44506162125","0","0.724700572817","3.67123763236","1.93976740149","0.312445755945","0.0433952438813","0.00867904877625","0","0.360180524215","0.125846207256","0.538101024128","0.477347682694","0.477347682694"
